,Cocktail Name,Ingredients
57,Brain Fart,"1 pint Rum, 1 small bottle Lemon juice, 2 L Surge, 2 L Mountain Dew, 1 fifth Smirnoff red label Vodka, 1 fifth Everclear, "
58,Blackthorn,"1 twist of Lemon peel, 1 1/2 oz Sloe gin, 1 oz Sweet Vermouth, "
59,Bob Marley,"1/2 oz Goldschlager, 1/2 oz Jägermeister, 1/2 oz Midori melon liqueur, "
60,Bible Belt,"2 oz Sour mix, 2 wedges Lime, 1/2 oz Triple sec, 2 oz Southern Comfort, "
61,Bubble Gum,"1/4 Peach schnapps, 1/4 Orange juice, 1/4 Banana liqueur, 1/4 Vodka, "
62,Bumble Bee,"1/3 oz Sambuca, 1/3 oz Kahlua, 1/3 oz Baileys irish cream, "
63,Baby Eskimo,"2 scoops Vanilla ice-cream, 8 oz Milk, 2 oz Kahlua, "
64,Boston Sour,"1 Cherry, 1 slice Lemon, 1 Egg white, 1 tsp Powdered sugar, Juice of 1/2 Lemon, 2 oz Blended whiskey, "
65,Bahama Mama,"1 partSweet and Sour, 2 partsOrange Juice, 2 partsPineapple Juice, 1 partGrenadine, 1 partBanana liqueur, 1 partDark Rum, 3 partsRum, "
66,Casino,"1 Cherry, 2 dashes Orange bitters, 1/4 tsp Lemon juice, 1/4 tsp Maraschino liqueur, 2 oz Gin, "
67,Cafe Savoy,"NoneBrandy, 1/2 oz Triple sec, 1/2 oz Milk, NoneCoffee, "
68,Caipirinha,"2 1/2 oz Cachaca, 1 Lime, 2 tspSugar, "
69,Cream Soda,"NoneGinger ale, 1 oz Spiced rum, "
70,Cuba Libra,"NoneIce, Fill with Coca-Cola, Squeeze Lime, 1-2 shot Dark rum, "
71,Cherry Rum,"1 tblsp Light cream, 1 1/2 tsp Cherry brandy, 1 1/4 oz Light rum, "
72,Cuba Libre,"NoneCoca-Cola, Juice of 1/2 Lime, 2 oz Light rum, "
73,Corn n Oil,"1 ozblackstrap rum, 1 ozAñejo rum, 2 dashesAngostura Bitters, 1/3 ozFalernum, 1/2Lime, "
74,Citrus Coke,"2 parts Coca-Cola, 1 part Bacardi Limon, "
75,Casa Blanca,"1 1/2 tsp Maraschino liqueur, 1 1/2 tsp Lime juice, 1 1/2 tsp Triple sec, 2 oz Light rum, "
76,Clover Club,"1 Egg white, Juice of 1/2 Lemon, 2 tsp Grenadine, 1 1/2 oz Gin, "
77,Caipirissima,"crushed Ice, 2-3 oz White rum, 2 tblsp Sugar, 2 Lime, "
78,City Slicker,"1 tblsp Lemon juice, 1/2 oz Triple sec, 2 oz Brandy, "
79,Campari Beer,"1 1/2 cl Campari, 1 bottle Lager, "
